cluster,Global_Mean,MediaLengua,Media_Mates,Media_Ingles,Media_Economia,Media_Geografia,Media_Historia,tipo_bachillerato,Count
1,6.780656934306566,6.515729927007295,6.810218978102188,6.9167153284671565,7.014233576642339,6.8644890510948855,6.561386861313863,3,274
3,6.308708487084874,6.617490774907752,5.896642066420664,6.921512915129154,5.853800738007379,5.908228782287822,6.652952029520301,3,271
5,7.537746478873244,6.680000000000001,8.30070422535211,7.003380281690141,8.299718309859157,8.430281690140845,6.510704225352116,3,71
8,5.8168000000000015,6.437799999999998,4.997199999999999,6.858,4.955000000000001,5.0333999999999985,6.616799999999997,3,50
9,6.499036144578311,6.641234939759033,6.1477409638554175,6.942921686746983,6.333072289156629,6.2483433734939755,6.680602409638555,3,332
10,6.966571428571425,6.589571428571432,7.112047619047618,6.83752380952381,7.338666666666668,7.165428571428571,6.756000000000001,3,210
11,6.0764942528735615,6.583218390804595,5.4476436781609205,6.959137931034479,5.570919540229881,5.399655172413794,6.5006321839080465,3,174
13,6.640000000000001,6.488274760383384,6.485910543130987,6.979840255591049,6.599137380191696,6.655974440894563,6.63191693290735,3,313
15,7.23862595419847,6.433740458015269,7.737709923664125,6.815801526717558,7.754580152671757,8.00160305343512,6.69,3,131
18,7.8213333333333335,6.415333333333333,8.884666666666666,6.458666666666667,9.343333333333332,9.029333333333334,6.801999999999999,3,15
21,7.135408805031445,6.657735849056606,7.294842767295595,7.0291823899371035,7.540691823899368,7.664528301886788,6.624968553459118,3,159
