año,mes,dia,hora,min,dateInt,Date_start_horario,Date_start_Examenes,days_left,Lengua,Mates,Ingles,Dibujo,Fisica,Historia,media_troncales,Biologia,Quimica,Mates_sociales,Economia,Geografia,tipo_bachillerato-Sanitario,tipo_bachillerato-Sociales,tipo_bachillerato-Tecnologico,cluster
2021,5,6,11,0,20210506,2021-05-06 11:00:00,2021-06-10,34,7.75,6.24,10.0,4.9,7.74,5.09,6.95,,,,,,0,0,1,4
2021,5,21,9,0,20210521,2021-05-21 09:00:00,2021-06-06,15,6.89,4.98,8.52,6.24,5.08,5.38,6.18,,,,,,0,0,1,8
2021,5,17,11,45,20210517,2021-05-17 11:45:00,2021-06-03,16,9.35,7.02,4.43,5.83,5.56,8.82,6.83,,,,,,0,0,1,1
2021,5,7,10,30,20210507,2021-05-07 10:30:00,2021-06-06,29,5.49,8.94,5.0,9.12,5.34,9.34,7.21,,,,,,0,0,1,11
2021,5,10,12,0,20210510,2021-05-10 12:00:00,2021-06-09,29,8.38,8.87,6.76,6.44,10.0,4.85,7.55,,,,,,0,0,1,11
2021,5,16,10,30,20210516,2021-05-16 10:30:00,2021-06-07,21,5.18,5.87,7.03,8.08,5.73,5.35,6.21,,,,,,0,0,1,1
2021,5,12,12,30,20210512,2021-05-12 12:30:00,2021-06-06,24,5.4,5.17,5.1,8.25,5.37,6.09,5.9,,,,,,0,0,1,1
2021,5,13,11,30,20210513,2021-05-13 11:30:00,2021-06-04,21,7.19,7.62,7.68,8.37,6.12,6.83,7.3,,,,,,0,0,1,9
2021,5,6,10,0,20210506,2021-05-06 10:00:00,2021-06-06,30,6.42,7.03,5.51,5.79,4.9,4.87,5.75,,,,,,0,0,1,1
2021,5,13,11,0,20210513,2021-05-13 11:00:00,2021-06-14,31,5.0,9.1,5.27,8.78,7.67,5.35,6.86,,,,,,0,0,1,11
2021,5,15,11,30,20210515,2021-05-15 11:30:00,2021-06-10,25,7.13,7.8,6.04,8.2,9.05,5.57,7.3,,,,,,0,0,1,11
2021,5,9,12,0,20210509,2021-05-09 12:00:00,2021-06-09,30,6.03,6.7,8.18,6.65,6.13,6.6,6.72,,,,,,0,0,1,4
2021,5,19,12,30,20210519,2021-05-19 12:30:00,2021-06-09,20,8.97,6.29,9.13,6.82,5.96,5.26,7.07,,,,,,0,0,1,1
2021,5,16,11,0,20210516,2021-05-16 11:00:00,2021-06-06,20,8.48,5.0,6.25,7.09,4.8,9.46,6.85,,,,,,0,0,1,8
2021,5,8,13,0,20210508,2021-05-08 13:00:00,2021-06-09,31,9.54,7.8,8.05,8.21,5.36,7.59,7.76,,,,,,0,0,1,9
2021,5,23,10,0,20210523,2021-05-23 10:00:00,2021-06-08,15,8.25,6.55,5.13,5.05,5.17,7.97,6.35,,,,,,0,0,1,10
2021,5,10,12,0,20210510,2021-05-10 12:00:00,2021-06-10,30,5.69,5.0,8.78,8.9,5.45,6.37,6.7,,,,,,0,0,1,1
2021,5,5,6,30,20210505,2021-05-05 06:30:00,2021-06-12,37,9.15,5.13,8.25,7.63,6.52,7.36,7.34,,,,,,0,0,1,1
2021,5,8,9,0,20210508,2021-05-08 09:00:00,2021-06-02,24,6.04,5.27,5.93,5.18,7.65,6.53,6.1,,,,,,0,0,1,10
2021,5,11,11,0,20210511,2021-05-11 11:00:00,2021-06-09,28,5.88,6.45,6.57,5.06,7.15,5.05,6.03,,,,,,0,0,1,1
2021,5,16,12,0,20210516,2021-05-16 12:00:00,2021-06-05,19,7.71,6.6,4.94,5.45,5.08,7.6,6.23,,,,,,0,0,1,10
2021,5,12,11,0,20210512,2021-05-12 11:00:00,2021-06-10,28,9.0,5.96,7.27,5.05,4.26,6.34,6.31,,,,,,0,0,1,8
2021,5,9,12,0,20210509,2021-05-09 12:00:00,2021-06-03,24,7.8,7.6,6.64,9.18,7.21,5.22,7.27,,,,,,0,0,1,3
2021,5,12,11,0,20210512,2021-05-12 11:00:00,2021-06-01,19,5.61,8.55,5.83,7.61,7.61,5.75,6.83,,,,,,0,0,1,3
2021,5,5,8,0,20210505,2021-05-05 08:00:00,2021-06-09,34,7.6,4.91,5.1,5.85,6.72,5.71,5.98,,,,,,0,0,1,10
2021,5,9,11,30,20210509,2021-05-09 11:30:00,2021-06-08,29,5.07,5.1,6.75,5.93,5.1,6.38,5.72,,,,,,0,0,1,8
2021,5,16,10,0,20210516,2021-05-16 10:00:00,2021-06-02,16,5.15,6.12,6.37,6.64,6.15,7.43,6.31,,,,,,0,0,1,1
2021,5,12,9,30,20210512,2021-05-12 09:30:00,2021-06-08,26,6.21,9.41,5.09,5.05,6.79,6.12,6.45,,,,,,0,0,1,3
2021,5,5,11,0,20210505,2021-05-05 11:00:00,2021-06-12,37,7.99,9.35,6.52,6.44,5.78,6.73,7.14,,,,,,0,0,1,3
2021,5,21,10,0,20210521,2021-05-21 10:00:00,2021-06-04,13,4.9,5.37,6.09,6.2,5.16,8.98,6.12,,,,,,0,0,1,8
2021,5,8,10,0,20210508,2021-05-08 10:00:00,2021-06-05,27,6.06,6.55,9.47,7.83,5.8,5.42,6.85,,,,,,0,0,1,4
2021,5,8,11,0,20210508,2021-05-08 11:00:00,2021-06-01,23,4.49,8.14,7.96,10.0,5.26,9.69,7.59,,,,,,0,0,1,3
2021,5,17,9,0,20210517,2021-05-17 09:00:00,2021-06-08,21,5.83,4.71,6.19,7.01,4.81,5.61,5.69,,,,,,0,0,1,8
2021,5,12,11,0,20210512,2021-05-12 11:00:00,2021-06-06,24,4.9,5.12,4.77,6.14,5.05,5.79,5.29,,,,,,0,0,1,8
2021,5,13,7,0,20210513,2021-05-13 07:00:00,2021-06-09,26,5.09,9.05,5.2,4.9,7.57,7.24,6.51,,,,,,0,0,1,3
2021,5,11,9,0,20210511,2021-05-11 09:00:00,2021-06-09,28,6.89,8.0,6.27,7.18,7.03,8.33,7.28,,,,,,0,0,1,3
2021,5,5,11,30,20210505,2021-05-05 11:30:00,2021-06-08,33,4.82,6.05,7.92,5.13,5.62,8.62,6.36,,,,,,0,0,1,10
2021,5,13,9,30,20210513,2021-05-13 09:30:00,2021-06-05,22,8.58,7.76,7.39,5.21,5.0,5.24,6.53,,,,,,0,0,1,1
2021,5,11,11,0,20210511,2021-05-11 11:00:00,2021-06-08,27,7.42,5.6,6.17,4.9,5.74,5.92,5.96,,,,,,0,0,1,10
2021,5,8,11,30,20210508,2021-05-08 11:30:00,2021-06-04,26,5.1,7.29,5.89,6.64,6.5,6.17,6.27,,,,,,0,0,1,4
2021,5,11,13,0,20210511,2021-05-11 13:00:00,2021-06-10,29,6.94,6.5,6.99,9.89,5.34,8.27,7.32,,,,,,0,0,1,9
2021,5,10,13,0,20210510,2021-05-10 13:00:00,2021-06-08,28,6.95,6.74,9.06,9.25,5.74,6.74,7.41,,,,,,0,0,1,9
2021,5,6,11,0,20210506,2021-05-06 11:00:00,2021-06-08,32,5.43,6.08,6.67,6.24,9.28,8.98,7.11,,,,,,0,0,1,9
2021,5,11,13,0,20210511,2021-05-11 13:00:00,2021-06-08,27,9.75,7.2,9.41,6.28,9.22,5.85,7.95,,,,,,0,0,1,3
